id,student_id,hw_id,module,title,topic,deadline,submitted_at,status,grade
1,stud_134143,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,87
2,stud_134143,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,83
3,stud_134143,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-15 00:00:00+00,graded,85
4,stud_134143,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-23 00:00:00+00,graded,86
5,stud_134143,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-01 00:00:00+00,graded,81
6,stud_134143,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-08 00:00:00+00,graded,90
7,stud_011391,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,78
8,stud_011391,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,85
9,stud_011391,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-16 00:00:00+00,graded,80
10,stud_011391,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-23 00:00:00+00,graded,85
11,stud_011391,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-01 00:00:00+00,graded,82
12,stud_011391,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-07 00:00:00+00,graded,76
13,stud_116692,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,72
14,stud_116692,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,77
15,stud_116692,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-15 00:00:00+00,graded,72
16,stud_116692,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-23 00:00:00+00,graded,78
17,stud_116692,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-01 00:00:00+00,graded,72
18,stud_116692,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-08 00:00:00+00,graded,71
19,stud_228222,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,71
20,stud_228222,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,45
21,stud_228222,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-15 00:00:00+00,graded,67
22,stud_228222,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-23 00:00:00+00,graded,66
23,stud_228222,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-01 00:00:00+00,graded,60
24,stud_228222,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-08 00:00:00+00,graded,55
25,stud_306466,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,81
26,stud_306466,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,78
27,stud_306466,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-15 00:00:00+00,graded,88
28,stud_306466,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-23 00:00:00+00,graded,76
29,stud_306466,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-01 00:00:00+00,graded,87
30,stud_306466,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-08 00:00:00+00,graded,88
31,stud_386952,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,67
32,stud_386952,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,63
33,stud_386952,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-15 00:00:00+00,graded,71
34,stud_386952,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-23 00:00:00+00,graded,64
35,stud_386952,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-01 00:00:00+00,graded,75
36,stud_386952,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-08 00:00:00+00,graded,73
37,stud_978739,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,59
38,stud_978739,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,58
39,stud_978739,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-17 00:00:00+00,graded,50
40,stud_978739,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-28 00:00:00+00,graded,58
41,stud_978739,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-01 00:00:00+00,graded,58
42,stud_978739,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-12 00:00:00+00,graded,51
43,stud_2171627,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-03 00:00:00+00,graded,71
44,stud_2171627,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-10 00:00:00+00,graded,67
45,stud_2171627,hw_1754,4,TMA #1754,Tutor-Marked Assignment,04/18/2026,2026-04-15 00:00:00+00,graded,72
46,stud_2171627,hw_1755,6,TMA #1755,Tutor-Marked Assignment,04/25/2026,2026-04-23 00:00:00+00,graded,70
47,stud_2171627,hw_1756,8,TMA #1756,Tutor-Marked Assignment,05/02/2026,2026-05-01 00:00:00+00,graded,65
48,stud_2171627,hw_1757,9,Exam #1757,Final Exam TMA1,05/09/2026,2026-05-08 00:00:00+00,graded,69
49,stud_2551220,hw_1752,1,TMA #1752,Tutor-Marked Assignment,04/04/2026,2026-04-02 00:00:00+00,graded,77
50,stud_2551220,hw_1753,2,TMA #1753,Tutor-Marked Assignment,04/11/2026,2026-04-13 00:00:00+00,graded,54
